[00:00:01.260 --> 00:00:01.900]  In
[00:01:07.420 --> 00:01:08.380]  this
[00:01:08.380 --> 00:01:08.620]  tiny
[00:01:08.620 --> 00:01:08.960]  little
[00:01:08.960 --> 00:01:09.540]  hole
[00:01:09.540 --> 00:01:10.280]  and
[00:01:10.280 --> 00:01:10.780]  creating
[00:01:10.780 --> 00:01:11.160]  an
[00:01:11.160 --> 00:01:11.680]  image
[00:01:11.680 --> 00:01:13.380]  of
[00:01:13.380 --> 00:01:14.720]  the
[00:01:14.720 --> 00:01:15.440]  objects
[00:01:15.440 --> 00:01:16.200]  outside
[00:01:16.200 --> 00:01:16.440]  of
[00:01:16.440 --> 00:01:16.640]  the
[00:01:16.640 --> 00:01:16.920]  scene
[00:01:16.920 --> 00:01:17.960]  outside
[00:01:17.960 --> 00:01:18.760]  upside
[00:01:18.760 --> 00:01:19.440]  down
[00:01:19.440 --> 00:01:19.880]  in
[00:01:19.880 --> 00:01:20.860]  this
[00:01:20.860 --> 00:01:21.580]  very
[00:01:21.580 --> 00:01:21.760]  dark
[00:01:21.760 --> 00:01:22.240]  room.
[00:01:22.240 --> 00:01:22.620]  Of
[00:01:22.620 --> 00:01:23.100]  course,
[00:01:23.380 --> 00:01:23.580]  because
[00:01:23.580 --> 00:01:23.820]  the
[00:01:23.820 --> 00:01:24.060]  aperture
[00:01:24.060 --> 00:01:24.260]  is
[00:01:24.260 --> 00:01:24.420]  so
[00:01:24.420 --> 00:01:24.680]  small
[00:01:24.680 --> 00:01:24.840]  and
[00:01:24.840 --> 00:01:25.000]  they're
[00:01:25.000 --> 00:01:25.160]  so
[00:01:25.160 --> 00:01:25.420]  little
[00:01:25.420 --> 00:01:25.660]  light
[00:01:25.660 --> 00:01:26.000]  coming
[00:01:26.000 --> 00:01:26.280]  into
[00:01:26.280 --> 00:01:26.520]  the
[00:01:26.520 --> 00:01:26.780]  room,
[00:01:29.440 --> 00:01:29.960]  you
[00:01:29.960 --> 00:01:30.480]  have
[00:01:30.480 --> 00:01:30.940]  to
[00:01:30.940 --> 00:01:33.080]  adapt
[00:01:33.080 --> 00:01:33.520]  to
[00:01:33.520 --> 00:01:34.020]  the
[00:01:34.020 --> 00:01:34.340]  darkness
[00:01:34.340 --> 00:01:34.640]  of
[00:01:34.640 --> 00:01:34.820]  the
[00:01:34.820 --> 00:01:35.020]  room
[00:01:35.020 --> 00:01:35.220]  if
[00:01:35.220 --> 00:01:35.420]  you're
[00:01:35.420 --> 00:01:35.700]  standing
[00:01:35.700 --> 00:01:36.100]  inside
[00:01:36.100 --> 00:01:36.320]  that
[00:01:36.320 --> 00:01:36.440]  room
[00:01:36.440 --> 00:01:36.740]  to
[00:01:36.740 --> 00:01:36.940]  actually
[00:01:36.940 --> 00:01:37.300]  perceive
[00:01:37.300 --> 00:01:37.860]  something.
[00:01:38.000 --> 00:01:38.280]  It's
[00:01:38.280 --> 00:01:38.300]  actually
[00:01:38.300 --> 00:01:38.700]  just
[00:01:38.700 --> 00:01:39.120]  very
[00:01:39.120 --> 00:01:39.460]  little
[00:01:39.460 --> 00:01:39.620]  light.
[00:01:39.800 --> 00:01:39.840]  It's
[00:01:39.840 --> 00:01:39.960]  not
[00:01:39.960 --> 00:01:40.180]  very
[00:01:40.180 --> 00:01:40.620]  bright
[00:01:40.620 --> 00:01:41.260]  if
[00:01:41.260 --> 00:01:41.460]  you
[00:01:41.460 --> 00:01:41.740]  create
[00:01:41.740 --> 00:01:42.060]  such
[00:01:42.060 --> 00:01:42.660]  an
[00:01:42.660 --> 00:01:42.920]  camera
[00:01:42.920 --> 00:01:43.420]  upscore
[00:01:43.420 --> 00:01:43.660]  at
[00:01:43.660 --> 00:01:44.360]  home.
[00:01:44.960 --> 00:01:45.140]  But
[00:01:45.140 --> 00:01:45.240]  this
[00:01:45.240 --> 00:01:45.440]  has
[00:01:45.440 --> 00:01:45.580]  been
[00:01:45.580 --> 00:01:46.160]  used.
[00:01:46.780 --> 00:01:46.820]  You
[00:01:46.820 --> 00:01:46.980]  can
[00:01:46.980 --> 00:01:47.200]  find
[00:01:47.200 --> 00:01:47.480]  this
[00:01:47.480 --> 00:01:47.740]  in
[00:01:47.740 --> 00:01:48.100]  various
[00:01:48.100 --> 00:01:48.700]  museums
[00:01:48.700 --> 00:01:48.980]  have
[00:01:48.980 --> 00:01:49.180]  been
[00:01:49.180 --> 00:01:49.400]  used
[00:01:49.400 --> 00:01:49.720]  by
[00:01:49.720 --> 00:01:50.060]  artists
[00:01:50.060 --> 00:01:50.360]  here
[00:01:50.360 --> 00:01:50.560]  some
[00:01:50.560 --> 00:01:51.040]  examples
[00:01:51.040 --> 00:01:52.060]  and
[00:01:52.060 --> 00:01:52.240]  on
[00:01:52.240 --> 00:01:52.360]  this
[00:01:52.360 --> 00:01:52.680]  website
[00:01:52.680 --> 00:01:52.880]  you
[00:01:52.880 --> 00:01:53.100]  find
[00:01:53.100 --> 00:01:53.380]  more
[00:01:53.380 --> 00:01:53.760]  examples
[00:01:53.760 --> 00:01:55.340]  where
[00:01:55.340 --> 00:01:55.680]  ordinary
[00:01:55.680 --> 00:01:56.160]  rooms
[00:01:56.160 --> 00:01:56.480]  have
[00:01:56.480 --> 00:01:56.700]  been
[00:01:56.700 --> 00:01:57.160]  illuminated
[00:01:57.160 --> 00:01:57.600]  using
[00:01:57.600 --> 00:01:57.860]  this
[00:01:57.860 --> 00:01:58.480]  principle
[00:01:58.480 --> 00:01:59.240]  of
[00:01:59.240 --> 00:01:59.380]  a
[00:01:59.380 --> 00:01:59.540]  very
[00:01:59.540 --> 00:02:00.020]  small
[00:02:00.020 --> 00:02:00.560]  pinhole
[00:02:00.560 --> 00:02:00.900]  and
[00:02:00.900 --> 00:02:02.400]  then
[00:02:02.400 --> 00:02:02.540]  an
[00:02:02.540 --> 00:02:02.700]  image
[00:02:02.700 --> 00:02:02.920]  has
[00:02:02.920 --> 00:02:03.080]  been
[00:02:03.080 --> 00:02:03.380]  captured
[00:02:03.380 --> 00:02:03.760]  inside
[00:02:03.760 --> 00:02:04.020]  that
[00:02:04.020 --> 00:02:04.680]  room
[00:02:04.680 --> 00:02:05.100]  with
[00:02:05.100 --> 00:02:05.440]  a
[00:02:05.440 --> 00:02:05.600]  very
[00:02:05.600 --> 00:02:05.840]  long
[00:02:05.840 --> 00:02:06.080]  shutter
[00:02:06.080 --> 00:02:07.060]  time
[00:02:07.060 --> 00:02:07.880]  and
[00:02:07.880 --> 00:02:08.240]  giving
[00:02:08.240 --> 00:02:08.620]  rise
[00:02:08.620 --> 00:02:09.580]  to
[00:02:09.580 --> 00:02:10.060]  installations
[00:02:10.060 --> 00:02:10.740]  like
